"Gubernatorial General Election Returns by County, National Summary (2006)"
"Generated from CQ Press U.S. Political Stats Database, October 11, 2017"
,
,
State,County,"Winning Party","Dem. Candidate (2006)","Dem. Votes","Dem. %","Rep. Candidate (2006)","Rep. Votes","Rep. %","Highest Other (2006)","Other Votes","Other %"
AK,"Election District 1",R,"Knowles, Tony",1831,36.9,"Palin, Sarah",2467,49.8,"Other/Unknown, ",658,13.3
AK,"Election District 10",R,"Knowles, Tony",1152,35.2,"Palin, Sarah",1813,55.4,"Other/Unknown, ",306,9.4
AK,"Election District 11",R,"Knowles, Tony",1361,20.8,"Palin, Sarah",4526,69.3,"Other/Unknown, ",647,9.9
AK,"Election District 12",R,"Knowles, Tony",1242,24.4,"Palin, Sarah",3415,67.1,"Other/Unknown, ",432,8.5
AK,"Election District 13",R,"Knowles, Tony",2007,24.8,"Palin, Sarah",5374,66.5,"Other/Unknown, ",701,8.7
AK,"Election District 14",R,"Knowles, Tony",1428,19.5,"Palin, Sarah",5313,72.4,"Other/Unknown, ",594,8.1
AK,"Election District 15",R,"Knowles, Tony",1551,20.5,"Palin, Sarah",5295,69.9,"Other/Unknown, ",725,9.6
AK,"Election District 16",R,"Knowles, Tony",2027,25.2,"Palin, Sarah",5180,64.5,"Other/Unknown, ",821,10.2
AK,"Election District 17",R,"Knowles, Tony",1992,29.3,"Palin, Sarah",4146,61,"Other/Unknown, ",656,9.7
AK,"Election District 18",R,"Knowles, Tony",793,30,"Palin, Sarah",1639,62.1,"Other/Unknown, ",208,7.9
AK,"Election District 19",R,"Knowles, Tony",2114,40.3,"Palin, Sarah",2598,49.5,"Other/Unknown, ",540,10.3
AK,"Election District 2",D,"Knowles, Tony",3011,53.2,"Palin, Sarah",2059,36.4,"Other/Unknown, ",590,10.4
AK,"Election District 20",D,"Knowles, Tony",1568,46.6,"Palin, Sarah",1474,43.8,"Other/Unknown, ",321,9.5
AK,"Election District 21",R,"Knowles, Tony",2828,43.8,"Palin, Sarah",3041,47.1,"Other/Unknown, ",594,9.2
AK,"Election District 22",D,"Knowles, Tony",2379,51.2,"Palin, Sarah",1765,38,"Other/Unknown, ",500,10.8
AK,"Election District 23",D,"Knowles, Tony",3034,58.2,"Palin, Sarah",1588,30.5,"Other/Unknown, ",592,11.4
AK,"Election District 24",D,"Knowles, Tony",2431,45,"Palin, Sarah",2330,43.1,"Other/Unknown, ",647,12
AK,"Election District 25",D,"Knowles, Tony",2318,49.8,"Palin, Sarah",1814,39,"Other/Unknown, ",524,11.3
AK,"Election District 26",D,"Knowles, Tony",3554,51.7,"Palin, Sarah",2499,36.4,"Other/Unknown, ",820,11.9
AK,"Election District 27",R,"Knowles, Tony",2386,37.5,"Palin, Sarah",3121,49.1,"Other/Unknown, ",848,13.3
AK,"Election District 28",R,"Knowles, Tony",2759,38.1,"Palin, Sarah",3515,48.6,"Other/Unknown, ",961,13.3
AK,"Election District 29",R,"Knowles, Tony",1873,38.6,"Palin, Sarah",2422,50,"Other/Unknown, ",552,11.4
AK,"Election District 3",D,"Knowles, Tony",5155,71.4,"Palin, Sarah",1308,18.1,"Other/Unknown, ",759,10.5
AK,"Election District 30",R,"Knowles, Tony",2692,40.1,"Palin, Sarah",3283,48.9,"Other/Unknown, ",739,11
AK,"Election District 31",R,"Knowles, Tony",2838,35.9,"Palin, Sarah",4105,52,"Other/Unknown, ",958,12.1
AK,"Election District 32",R,"Knowles, Tony",3928,42.2,"Palin, Sarah",4166,44.8,"Other/Unknown, ",1211,13
AK,"Election District 33",R,"Knowles, Tony",1646,26.1,"Palin, Sarah",3921,62.2,"Other/Unknown, ",739,11.7
AK,"Election District 34",R,"Knowles, Tony",1315,19.5,"Palin, Sarah",4690,69.4,"Other/Unknown, ",754,11.2
AK,"Election District 35",R,"Knowles, Tony",2983,43,"Palin, Sarah",3117,44.9,"Other/Unknown, ",835,12
AK,"Election District 36",R,"Knowles, Tony",1625,34.7,"Palin, Sarah",2423,51.7,"Other/Unknown, ",641,13.7
AK,"Election District 37",D,"Knowles, Tony",2084,51.5,"Palin, Sarah",1594,39.4,"Other/Unknown, ",366,9.1
AK,"Election District 38",D,"Knowles, Tony",3133,79.8,"Palin, Sarah",539,13.7,"Other/Unknown, ",256,6.5
AK,"Election District 39",D,"Knowles, Tony",3139,71.6,"Palin, Sarah",843,19.2,"Other/Unknown, ",400,9.1
AK,"Election District 4",D,"Knowles, Tony",4108,60.5,"Palin, Sarah",1859,27.4,"Other/Unknown, ",822,12.1
AK,"Election District 40",D,"Knowles, Tony",2813,72.2,"Palin, Sarah",828,21.2,"Other/Unknown, ",256,6.6
AK,"Election District 5",D,"Knowles, Tony",2845,51.3,"Palin, Sarah",2141,38.6,"Other/Unknown, ",560,10.1
AK,"Election District 6",D,"Knowles, Tony",2453,45.6,"Palin, Sarah",2451,45.6,"Other/Unknown, ",470,8.7
AK,"Election District 7",R,"Knowles, Tony",3202,38.6,"Palin, Sarah",4194,50.6,"Other/Unknown, ",899,10.8
AK,"Election District 8",D,"Knowles, Tony",3586,45.9,"Palin, Sarah",3259,41.7,"Other/Unknown, ",966,12.4
AK,"Election District 9",R,"Knowles, Tony",2054,39.8,"Palin, Sarah",2582,50.1,"Other/Unknown, ",519,10.1
AL,AUTAUGA,R,"Baxley, Lucy",4399,31.3,"Riley, Robert",9556,68.1,"Other/Unknown, ",77,0.5
AL,BALDWIN,R,"Baxley, Lucy",10604,23.2,"Riley, Robert",34969,76.4,"Other/Unknown, ",210,0.5
AL,BARBOUR,D,"Baxley, Lucy",3349,53.8,"Riley, Robert",2866,46,"Other/Unknown, ",14,0.2
AL,BIBB,R,"Baxley, Lucy",2207,39.7,"Riley, Robert",3263,58.7,"Other/Unknown, ",85,1.5
AL,BLOUNT,R,"Baxley, Lucy",5058,35.7,"Riley, Robert",8877,62.7,"Other/Unknown, ",216,1.5
AL,BULLOCK,D,"Baxley, Lucy",2217,71.5,"Riley, Robert",881,28.4,"Other/Unknown, ",3,0.1
AL,BUTLER,R,"Baxley, Lucy",3181,46.7,"Riley, Robert",3615,53.1,"Other/Unknown, ",18,0.3
AL,CALHOUN,R,"Baxley, Lucy",11858,39.9,"Riley, Robert",17542,59.1,"Other/Unknown, ",297,1
AL,CHAMBERS,R,"Baxley, Lucy",4414,48,"Riley, Robert",4789,52,"Other/Unknown, ",,
AL,CHEROKEE,R,"Baxley, Lucy",3337,47.2,"Riley, Robert",3700,52.3,"Other/Unknown, ",35,0.5
AL,CHILTON,R,"Baxley, Lucy",4103,33.7,"Riley, Robert",7955,65.4,"Other/Unknown, ",105,0.9
AL,CHOCTAW,D,"Baxley, Lucy",2775,56.5,"Riley, Robert",2134,43.4,"Other/Unknown, ",6,0.1
AL,CLARKE,R,"Baxley, Lucy",4134,45.6,"Riley, Robert",4904,54.1,"Other/Unknown, ",19,0.2
AL,CLAY,R,"Baxley, Lucy",1904,39.3,"Riley, Robert",2893,59.6,"Other/Unknown, ",53,1.1
AL,CLEBURNE,R,"Baxley, Lucy",1415,34.4,"Riley, Robert",2662,64.8,"Other/Unknown, ",31,0.8
AL,COFFEE,R,"Baxley, Lucy",4526,34.3,"Riley, Robert",8634,65.4,"Other/Unknown, ",43,0.3
AL,COLBERT,D,"Baxley, Lucy",8281,52.5,"Riley, Robert",7386,46.8,"Other/Unknown, ",111,0.7
AL,CONECUH,D,"Baxley, Lucy",2252,53.2,"Riley, Robert",1975,46.6,"Other/Unknown, ",10,0.2
AL,COOSA,D,"Baxley, Lucy",2404,55.3,"Riley, Robert",1915,44.1,"Other/Unknown, ",28,0.6
AL,COVINGTON,R,"Baxley, Lucy",4055,35.9,"Riley, Robert",7196,63.7,"Other/Unknown, ",40,0.4
AL,CRENSHAW,R,"Baxley, Lucy",1775,41.3,"Riley, Robert",2511,58.4,"Other/Unknown, ",14,0.3
AL,CULLMAN,R,"Baxley, Lucy",9531,37.3,"Riley, Robert",15081,59.1,"Other/Unknown, ",927,3.6
AL,DALE,R,"Baxley, Lucy",4098,32.9,"Riley, Robert",8287,66.6,"Other/Unknown, ",64,0.5
AL,DALLAS,D,"Baxley, Lucy",8698,61.5,"Riley, Robert",5409,38.2,"Other/Unknown, ",41,0.3
AL,DEKALB,R,"Baxley, Lucy",6878,38.9,"Riley, Robert",10532,59.6,"Other/Unknown, ",253,1.4
AL,ELMORE,R,"Baxley, Lucy",6146,29.4,"Riley, Robert",14594,69.9,"Other/Unknown, ",137,0.7
AL,ESCAMBIA,R,"Baxley, Lucy",3547,40.4,"Riley, Robert",5202,59.2,"Other/Unknown, ",37,0.4
AL,ETOWAH,R,"Baxley, Lucy",13984,47.7,"Riley, Robert",14923,50.9,"Other/Unknown, ",422,1.4
AL,FAYETTE,R,"Baxley, Lucy",2812,46.6,"Riley, Robert",3127,51.8,"Other/Unknown, ",96,1.6
AL,FRANKLIN,D,"Baxley, Lucy",4122,54.1,"Riley, Robert",3385,44.4,"Other/Unknown, ",114,1.5
AL,GENEVA,R,"Baxley, Lucy",2335,32.1,"Riley, Robert",4911,67.5,"Other/Unknown, ",28,0.4
AL,GREENE,D,"Baxley, Lucy",3260,76.8,"Riley, Robert",973,22.9,"Other/Unknown, ",12,0.3
AL,HALE,D,"Baxley, Lucy",3335,62.9,"Riley, Robert",1951,36.8,"Other/Unknown, ",17,0.3
AL,HENRY,R,"Baxley, Lucy",2706,46.7,"Riley, Robert",3075,53.1,"Other/Unknown, ",15,0.3
AL,HOUSTON,R,"Baxley, Lucy",9705,37.2,"Riley, Robert",16253,62.3,"Other/Unknown, ",151,0.6
AL,JACKSON,R,"Baxley, Lucy",6077,47.9,"Riley, Robert",6515,51.3,"Other/Unknown, ",105,0.8
AL,JEFFERSON,R,"Baxley, Lucy",84137,46.9,"Riley, Robert",93132,51.9,"Other/Unknown, ",2122,1.2
AL,LAMAR,D,"Baxley, Lucy",2429,50.4,"Riley, Robert",2336,48.5,"Other/Unknown, ",50,1
AL,LAUDERDALE,R,"Baxley, Lucy",10831,43.3,"Riley, Robert",13943,55.8,"Other/Unknown, ",215,0.9
AL,LAWRENCE,D,"Baxley, Lucy",5558,54.5,"Riley, Robert",4450,43.6,"Other/Unknown, ",194,1.9
