"Gubernatorial General Election Returns by State (1998)"
"Generated from CQ Press U.S. Political Stats Database, October 23, 2017"
,
,
State,"Winning Party","Dem. Candidate (1998)","Dem. Votes","Dem. %","Rep. Candidate (1998)","Rep. Votes","Rep. %","Highest Other (1998)","Other Votes","Other %"
AK,D,"Knowles, Tony",112879,51.3,"Lindauer, John",39331,17.9,"Other/Unknown, ",67967,30.9
AL,D,"Siegelman, Don",760155,57.7,"James, Forrest",554746,42.1,"Other/Unknown, ",2941,0.2
AR,R,"Bristow, Bill",272923,38.7,"Huckabee, Mike",421989,59.8,"Other/Unknown, ",11099,1.6
AZ,R,"Johnson, Paul",361552,35.5,"Hull, Jane",620188,60.9,"Other/Unknown, ",35876,3.5
CA,D,"Davis, Gray",4860702,58,"Lungren, Dan",3218030,38.4,"Other/Unknown, ",306464,3.7
CO,R,"Schoettler, Gail",639905,48.4,"Owens, Bill",648202,49.1,"Other/Unknown, ",33200,2.5
CT,R,"Kennelly, Barbara",354187,35.4,"Rowland, John",628707,62.9,"Other/Unknown, ",16643,1.7
FL,R,"MacKay, Kenneth",1773054,44.7,"Bush, Jeb",2191105,55.3,"Other/Unknown, ",282,0
GA,D,"Barnes, Roy",941076,52.5,"Millner, Guy",790201,44.1,"Other/Unknown, ",61531,3.4
HI,D,"Cayetano, Benjamin",204206,50.1,"Lingle, Linda",198952,48.8,"Other/Unknown, ",4398,1.1
IA,D,"Vilsack, Tom",500231,52.3,"Lightfoot, Jim",444787,46.5,"Other/Unknown, ",11400,1.2
ID,R,"Huntley, Robert",110815,29.1,"Kempthorne, Dirk",258095,67.7,"Other/Unknown, ",12338,3.2
IL,R,"Poshard, Glenn",1594191,47.5,"Ryan, George",1714094,51,"Other/Unknown, ",50420,1.5
KS,R,"Sawyer, Tom",168243,22.7,"Graves, Bill",544882,73.4,"Other/Unknown, ",29540,4
MA,R,"Harshbarger, Scott",901843,47.4,"Cellucci, Argeo",967160,50.8,"Other/Unknown, ",34333,1.8
MD,D,"Glendening, Parris",846972,55.1,"Sauerbrey, Ellen",688357,44.8,"Other/Unknown, ",649,0
ME,I,"Connolly, Thomas",50506,12,"Longley, James",79716,18.9,"King, Agnus",246772,58.6
MI,R,"Fieger, Geoffrey",1143574,37.8,"Engler, John",1883005,62.2,"Other/Unknown, ",525,0
MN,I,,,,"Coleman, Norm",716880,34.3,"Ventura, Jesse",773403,37
NE,R,"Hoppner, Bill",250678,46,"Johanns, Mike",293910,53.9,"Other/Unknown, ",650,0.1
NH,D,"Shaheen, Jeanne",210769,66.1,"Lucas, Jay",98473,30.9,"Other/Unknown, ",9698,3
NM,R,"Chavez, Martin",226755,45.5,"Johnson, Gary",271948,54.5,,,
NV,R,"Jones, Jan",182281,42,"Guinn, Kenny",223892,51.6,"Other/Unknown, ",27457,6.3
NY,R,"Vallone, Peter",1570317,33.2,"Pataki, George",2571991,54.3,"Other/Unknown, ",592928,12.5
OH,R,"Fisher, Lee",1498956,44.7,"Taft, Robert",1678721,50,"Other/Unknown, ",176536,5.3
OK,R,"Boyd, Laura",357552,40.9,"Keating, Frank",505498,57.9,"Other/Unknown, ",10535,1.2
OR,D,"Kitzhaber, John",717061,64.4,"Sizemore, Bill",334001,30,"Other/Unknown, ",62036,5.6
PA,R,"Itkin, Ivan",938745,31,"Ridge, Thomas",1736844,57.4,"Luksik, Peg",315761,10.4
RI,R,"York, Myrth",129105,42.1,"Almond, Lincoln",156180,51,"Other/Unknown, ",21098,6.9
SC,D,"Hodges, James",570070,53.2,"Beasley, David",484088,45.2,"Other/Unknown, ",16711,1.6
SD,R,"Hunhoff, Bernie",85473,32.9,"Janklow, William",166621,64,"Other/Unknown, ",8093,3.1
TN,R,"Hooker, John",287750,29.5,"Sundquist, Don",669973,68.6,"Other/Unknown, ",18513,1.9
TX,R,"Mauro, Garry",1165444,31.2,"Bush, George",2551454,68.2,"Other/Unknown, ",21585,0.6
VT,D,"Dean, Howard",121425,55.7,"Dwyer, Ruth",89726,41.1,"Other/Unknown, ",6969,3.2
WI,R,"Garvey, Ed",679553,38.7,"Thompson, Tommy",1047716,59.7,"Other/Unknown, ",28745,1.6
WY,R,"Vinich, John",70754,40.5,"Geringer, Jim",97235,55.6,"Other/Unknown, ",6899,3.9
,
