year,state,govparty
1987,AK,D
1988,AK,D
1989,AK,D
1990,AK,D
1991,AK,R
1992,AK,R
1993,AK,R
1994,AK,R
1995,AK,D
1996,AK,D
1997,AK,D
1998,AK,D
1999,AK,D
2000,AK,D
2001,AK,D
2002,AK,D
2003,AK,R
2004,AK,R
2005,AK,R
2006,AK,R
2007,AK,R
2008,AK,R
2009,AK,R
2010,AK,R
2011,AK,R
2012,AK,R
2013,AK,R
2014,AK,R
2015,AK,I
2016,AK,I
2017,AK,I
1987,AL,R
1988,AL,R
1989,AL,R
1990,AL,R
1991,AL,R
1992,AL,R
1993,AL,R/D
1994,AL,D
1995,AL,R
1996,AL,R
1997,AL,R
1998,AL,R
1999,AL,D
2000,AL,D
2001,AL,D
2002,AL,D
2003,AL,R
2004,AL,R
2005,AL,R
2006,AL,R
2007,AL,R
2008,AL,R
2009,AL,R
2010,AL,R
2011,AL,R
2012,AL,R
2013,AL,R
2014,AL,R
2015,AL,R
2016,AL,R
2017,AL,R
1987,AR,D
1988,AR,D
1989,AR,D
1990,AR,D
1991,AR,D
1992,AR,D
1993,AR,D
1994,AR,D
1995,AR,D/R
1996,AR,R
1997,AR,R
1998,AR,R
1999,AR,R
2000,AR,R
2001,AR,R
2002,AR,R
2003,AR,R
2004,AR,R
2005,AR,R
2006,AR,R
2007,AR,D
2008,AR,D
2009,AR,D
2010,AR,D
2011,AR,D
2012,AR,D
2013,AR,D
2014,AR,D
2015,AR,R
2016,AR,R
2017,AR,R
1987,AZ,R
1988,AZ,R/D
1989,AZ,D
1990,AZ,D
1991,AZ,D/R
1992,AZ,R
1993,AZ,R
1994,AZ,R
1995,AZ,R
1996,AZ,R
1997,AZ,R
1998,AZ,R
1999,AZ,R
2000,AZ,R
2001,AZ,R
2002,AZ,R
2003,AZ,D
2004,AZ,D
2005,AZ,D
2006,AZ,D
2007,AZ,D
2008,AZ,D
2009,AZ,R
2010,AZ,R
2011,AZ,R
2012,AZ,R
2013,AZ,R
2014,AZ,R
2015,AZ,R
2016,AZ,R
2017,AZ,R
1987,CA,R
1988,CA,R
1989,CA,R
1990,CA,R
1991,CA,R
1992,CA,R
1993,CA,R
1994,CA,R
1995,CA,R
1996,CA,R
1997,CA,R
1998,CA,D
1999,CA,D
2000,CA,D
2001,CA,D
2002,CA,D
2003,CA,D
2004,CA,R
2005,CA,R
2006,CA,R
2007,CA,R
2008,CA,R
2009,CA,R
2010,CA,R
2011,CA,D
2012,CA,D
2013,CA,D
2014,CA,D
2015,CA,D
2016,CA,D
2017,CA,D
1987,CO,D
1988,CO,D
1989,CO,D
1990,CO,D
1991,CO,D
1992,CO,D
1993,CO,D
1994,CO,D
1995,CO,D
1996,CO,D
1997,CO,D
1998,CO,D
1999,CO,R
2000,CO,R
2001,CO,R
2002,CO,R
2003,CO,R
2004,CO,R
2005,CO,R
2006,CO,R
2007,CO,D
2008,CO,D
2009,CO,D
2010,CO,D
2011,CO,D
2012,CO,D
2013,CO,D
2014,CO,D
2015,CO,D
2016,CO,D
2017,CO,D
1987,CT,D
1988,CT,D
1989,CT,D
1990,CT,D
1991,CT,I
1992,CT,I
1993,CT,I
1994,CT,I
1995,CT,R
1996,CT,R
1997,CT,R
1998,CT,R
1999,CT,R
2000,CT,R
2001,CT,R
2002,CT,R
2003,CT,R
2004,CT,R
2005,CT,R
2006,CT,R
2007,CT,R
2008,CT,R
2009,CT,R
2010,CT,R
2011,CT,D
2012,CT,D
2013,CT,D
2014,CT,D
2015,CT,D
2016,CT,D
2017,CT,D
1987,DE,R
1988,DE,R
1989,DE,R
1990,DE,R
1991,DE,R
1992,DE,R
1993,DE,D
1994,DE,D
1995,DE,D
1996,DE,D
1997,DE,D
1998,DE,D
1999,DE,D
2000,DE,D
2001,DE,D
2002,DE,D
2003,DE,D
2004,DE,D
2005,DE,D
2006,DE,D
2007,DE,D
2008,DE,D
2009,DE,D
2010,DE,D
2011,DE,D
2012,DE,D
2013,DE,D
2014,DE,D
2015,DE,D
2016,DE,D
2017,DE,D
1987,FL,R
1988,FL,R
1989,FL,R
1990,FL,R
1991,FL,D
1992,FL,D
1993,FL,D
1994,FL,D
1995,FL,D
1996,FL,D
1997,FL,D
1998,FL,D
1999,FL,R
2000,FL,R
2001,FL,R
2002,FL,R
2003,FL,R
2004,FL,R
2005,FL,R
2006,FL,R
2007,FL,R/I
2008,FL,R/I
2009,FL,R/I
2010,FL,R/I
2011,FL,R
2012,FL,R
2013,FL,R
2014,FL,R
2015,FL,R
2016,FL,R
2017,FL,R
1987,GA,D
1988,GA,D
1989,GA,D
1990,GA,D
1991,GA,D
1992,GA,D
1993,GA,D
1994,GA,D
1995,GA,D
1996,GA,D
1997,GA,D
1998,GA,D
1999,GA,D
2000,GA,D
2001,GA,D
2002,GA,D
2003,GA,R
2004,GA,R
2005,GA,R
2006,GA,R
2007,GA,R
2008,GA,R
2009,GA,R
2010,GA,R
2011,GA,R
2012,GA,R
2013,GA,R
2014,GA,R
2015,GA,R
2016,GA,R
2017,GA,R
1987,HI,D
1988,HI,D
1989,HI,D
1990,HI,D
1991,HI,D
1992,HI,D
1993,HI,D
1994,HI,D
1995,HI,D
1996,HI,D
1997,HI,D
1998,HI,D
1999,HI,D
2000,HI,D
2001,HI,D
2002,HI,D
2003,HI,R
2004,HI,R
2005,HI,R
2006,HI,R
2007,HI,R
2008,HI,R
2009,HI,R
2010,HI,R
2011,HI,D
2012,HI,D
2013,HI,D
2014,HI,D
2015,HI,D
2016,HI,D
2017,HI,D
1987,IA,R
1988,IA,R
1989,IA,R
1990,IA,R
1991,IA,R
1992,IA,R
1993,IA,R
1994,IA,R
1995,IA,R
1996,IA,R
1997,IA,R
1998,IA,R
1999,IA,D
2000,IA,D
2001,IA,D
2002,IA,D
2003,IA,D
2004,IA,D
2005,IA,D
2006,IA,D
2007,IA,D
2008,IA,D
2009,IA,D
2010,IA,D
2011,IA,R
2012,IA,R
2013,IA,R
2014,IA,R
2015,IA,R
2016,IA,R
2017,IA,R
1987,ID,D
1988,ID,D
1989,ID,D
1990,ID,D
1991,ID,D
1992,ID,D
1993,ID,D
1994,ID,D
1995,ID,R
1996,ID,R
1997,ID,R
1998,ID,R
1999,ID,R
2000,ID,R
2001,ID,R
2002,ID,R
2003,ID,R
2004,ID,R
2005,ID,R
2006,ID,R
2007,ID,R
2008,ID,R
2009,ID,R
2010,ID,R
2011,ID,R
2012,ID,R
2013,ID,R
2014,ID,R
2015,ID,R
2016,ID,R
2017,ID,R
1987,IL,R
1988,IL,R
1989,IL,R
1990,IL,R
